year,quarter,gdp_yoy,m2_yoy,cpi_yoy,date,lpr
2017,1,7.0,10.4,1.4,,4.25
2017,2,7.0,9.333333333333334,1.4,,4.25
2017,3,6.9,8.833333333333334,1.6,,4.25
2017,4,6.8,8.700000000000001,1.8,,4.25
2018,1,6.9,8.533333333333333,2.1666666666666665,,4.25
2018,2,6.9,8.200000000000001,1.8,,4.25
2018,3,6.7,8.333333333333334,2.3000000000000003,,4.25
2018,4,6.5,8.033333333333333,2.1999999999999997,,4.25
2019,1,6.4,8.333333333333334,1.8333333333333333,,4.25
2019,2,6.1,8.5,2.6333333333333333,,4.25
2019,3,6.0,8.233333333333333,2.8666666666666667,2019-09-30,4.25
2019,4,5.9,8.433333333333332,4.266666666666667,2019-12-31,4.25
2020,1,-6.8,9.1,4.966666666666667,2020-03-31,4.05
2020,2,3.2,11.1,2.733333333333333,2020-06-30,3.85
2020,3,4.9,10.666666666666666,2.2666666666666666,2020-09-30,3.85
2020,4,6.5,10.433333333333332,0.0666666666666666,2020-12-31,3.85
2021,1,18.9,9.633333333333333,-0.0333333333333333,2021-03-31,3.85
2021,2,8.1,8.333333333333334,1.1,2021-06-30,3.85
2021,3,5.5,8.266666666666667,0.8333333333333334,2021-09-30,3.85
2021,4,4.5,8.733333333333333,1.7666666666666666,2021-12-31,3.8
2022,1,4.8,9.566666666666666,1.1,2022-03-31,3.7
2022,2,0.8,11.0,2.2333333333333334,2022-06-30,3.7
2022,3,4.0,12.1,2.6666666666666665,2022-09-30,3.65
2022,4,3.0,12.0,1.8333333333333333,2022-12-31,3.65
2023,1,4.7,12.733333333333334,1.2666666666666666,2023-03-31,3.65
2023,2,6.5,11.766666666666666,0.1,2023-06-30,3.55
2023,3,5.0,10.533333333333331,-0.0666666666666666,2023-09-30,3.45
2023,4,5.3,10.0,-0.3333333333333333,2023-12-31,3.45
2024,1,5.3,8.566666666666666,-2.7755575615628914e-17,2024-03-31,3.45
2024,2,4.7,6.8,0.2666666666666666,2024-06-30,3.45
2024,3,4.6,6.466666666666666,0.5,2024-09-30,3.35
2024,4,5.4,7.3,0.1999999999999999,2024-12-31,3.1
